Member_ID,First_Name,Last_Name,Gender,Age,Height,Weight,Hours_Sleep,Calories_Consumed,Exercise_Calories_Burned,Date,
249122,Elisabeth,Baker,F,63,"6,2",163,7,2279,803,9/5/17,
249122,Elisabeth,Baker,F,63,"6,2",163,7,2307,871,9/13/17,
249122,Elisabeth,Baker,F,63,"6,2",162,8,2108,709,9/16/17,
249122,Elisabeth,Baker,F,63,"6,2",163,9,2221,525,9/26/17,
249122,Elisabeth,Baker,F,63,"6,2",165,7,1942,759,10/11/17,
249122,Elisabeth,Baker,F,63,"6,2",165,8,2320,361,10/18/17,
939801,Trisha,Bellocht,F,31,"5,5",128,9,1679,467,10/17/17,
939801,Trisha,Bellocht,F,31,"5,5",128,6,2175,729,9/12/17,
939801,Trisha,Bellocht,F,31,"5,5",128,8,2301,513,9/10/17,
939801,Trisha,Bellocht,F,31,"5,5",128,9,1886,961,10/11/17,
939801,Trisha,Bellocht,F,31,"5,5",128,7,1697,570,10/17/17,
939801,Trisha,Bellocht,F,31,"5,5",128,5,1794,360,10/12/17,
939801,Trisha,Bellocht,F,31,"5,5",128,6,1681,623,10/6/17,
939801,Trisha,Bellocht,F,31,"5,5",128,7,1655,850,9/25/17,
939801,Trisha,Bellocht,F,31,"5,5",128,5,1886,688,9/3/17,
939801,Trisha,Bellocht,F,31,"5,5",128,7,1709,838,9/11/17,
962653,Alessa,Pheazey,F,25,"5,6",130,9,1933,716,10/15/17,
962653,Alessa,Pheazey,F,25,"5,6",130,7,2362,640,9/7/17,
962653,Alessa,Pheazey,F,25,"5,6",130,6,1818,809,9/6/17,
962653,Alessa,Pheazey,F,25,"5,6",133,9,2125,454,10/22/17,
962653,Alessa,Pheazey,F,25,"5,6",133,7,1653,500,9/24/17,
962653,Alessa,Pheazey,F,25,"5,6",134,6,1718,686,9/21/17,
962653,Alessa,Pheazey,F,25,"5,6",135,8,1998,520,9/14/17,
962653,Alessa,Pheazey,F,25,"5,6",135,7,2119,715,9/22/17,
962653,Alessa,Pheazey,F,25,"5,6",130,6,1868,624,9/27/17,
962653,Alessa,Pheazey,F,25,"5,6",130,6,2125,488,9/5/17,
302643,Jami,Pickering,F,30,"6,2",141,9,2159,822,10/21/17,
302643,Jami,Pickering,F,30,"6,2",141,8,1666,946,10/5/17,
302643,Jami,Pickering,F,30,"6,2",141,8,1649,592,9/6/17,
302643,Jami,Pickering,F,30,"6,2",142,7,2046,943,9/20/17,
302643,Jami,Pickering,F,30,"6,2",142,9,1961,495,10/3/17,
302643,Jami,Pickering,F,30,"6,2",142,8,1671,992,9/30/17,
302643,Jami,Pickering,F,30,"6,2",141,9,1744,748,9/1/17,
302643,Jami,Pickering,F,30,"6,2",145,6,2043,731,10/13/17,
302643,Jami,Pickering,F,30,"6,2",141,9,2215,722,10/4/17,
302643,Jami,Pickering,F,30,"6,2",141,8,2155,291,10/10/17,
994061,Lorreta,Brown,F,59,"5,4",133,5,2058,403,9/7/17,
994061,Lorreta,Brown,F,59,"5,4",133,6,2102,296,10/8/17,
994061,Lorreta,Brown,F,59,"5,4",133,6,1663,938,10/12/17,
994061,Lorreta,Brown,F,59,"5,4",133,5,1635,564,10/4/17,
994061,Lorreta,Brown,F,59,"5,4",133,7,1803,767,9/28/17,
994061,Lorreta,Brown,F,59,"5,4",133,8,2325,320,10/18/17,
994061,Lorreta,Brown,F,59,"5,4",133,9,2129,886,9/15/17,
994061,Lorreta,Brown,F,59,"5,4",133,9,2043,585,9/16/17,
994061,Lorreta,Brown,F,59,"5,4",133,6,2005,796,9/14/17,
994061,Lorreta,Brown,F,59,"5,4",133,6,1604,854,10/20/17,
206845,Marcin,Matczak,M,70,"5,6",195,9,3560,544,9/26/17,
206845,Marcin,Matczak,M,70,"5,6",195,6,1945,670,9/27/17,
206845,Marcin,Matczak,M,70,"5,6",195,7,1982,674,9/11/17,
206845,Marcin,Matczak,M,70,"5,6",198,7,2119,626,9/14/17,
206845,Marcin,Matczak,M,70,"5,6",195,5,2429,791,10/18/17,
206845,Marcin,Matczak,M,70,"5,6",195,9,2260,923,9/15/17,
206845,Marcin,Matczak,M,70,"5,6",192,7,1617,509,9/16/17,
206845,Marcin,Matczak,M,70,"5,6",195,7,2024,670,9/10/17,
206845,Marcin,Matczak,M,70,"5,6",195,6,2538,441,9/28/17,
206845,Marcin,Matczak,M,70,"5,6",195,7,1871,615,9/30/17,
443185,Chris,Robinson,M,20,"6,2",194,6,2853,463,9/30/17,
443185,Chris,Robinson,M,20,"6,2",195,6,2015,685,9/11/17,
443185,Chris,Robinson,M,20,"6,2",194,6,2313,935,9/13/17,
443185,Chris,Robinson,M,20,"6,2",198,7,2888,575,10/18/17,
443185,Chris,Robinson,M,20,"6,2",194,9,2827,356,9/7/17,
443185,Chris,Robinson,M,20,"6,2",193,5,2381,925,9/4/17,
443185,Chris,Robinson,M,20,"6,2",194,8,2255,664,9/16/17,
443185,Chris,Robinson,M,20,"6,2",194,8,2449,816,9/21/17,
443185,Chris,Robinson,M,20,"6,2",194,8,2336,429,9/20/17,
443185,Chris,Robinson,M,20,"6,2",194,6,2347,991,9/25/17,
853386,Matt,MacAllester,M,24,"5,7",221,9,3523,407,10/8/17,
853386,Matt,MacAllester,M,24,"5,7",221,7,3101,908,9/16/17,
853386,Matt,MacAllester,M,24,"5,7",226,5,2919,812,9/27/17,
853386,Matt,MacAllester,M,24,"5,7",226,7,2181,633,9/28/17,
853386,Matt,MacAllester,M,24,"5,7",221,8,2225,318,10/1/17,
853386,Matt,MacAllester,M,24,"5,7",225,8,2950,994,9/22/17,
853386,Matt,MacAllester,M,24,"5,7",225,5,2621,905,10/13/17,
853386,Matt,MacAllester,M,24,"5,7",225,8,2904,333,9/26/17,
853386,Matt,MacAllester,M,24,"5,7",221,5,2228,340,9/9/17,
853386,Matt,MacAllester,M,24,"5,7",221,7,2861,633,9/10/17,
870311,Reinaldo,Elias da Costa,M,21,"6,1",245,7,3248,645,10/8/17,
870311,Reinaldo,Elias da Costa,M,21,"6,1",245,6,2164,596,9/17/17,
870311,Reinaldo,Elias da Costa,M,21,"6,1",245,5,2979,612,10/17/17,
870311,Reinaldo,Elias da Costa,M,21,"6,1",245,7,2442,645,9/10/17,
870311,Reinaldo,Elias da Costa,M,21,"6,1",245,8,2469,541,10/14/17,
870311,Reinaldo,Elias da Costa,M,21,"6,1",245,6,2628,755,9/2/17,
870311,Reinaldo,Elias da Costa,M,21,"6,1",245,5,2110,842,10/21/17,
870311,Reinaldo,Elias da Costa,M,21,"6,1",245,8,2243,268,9/23/17,
870311,Reinaldo,Elias da Costa,M,21,"6,1",245,5,2502,680,9/16/17,
870311,Reinaldo,Elias da Costa,M,21,"6,1",245,5,2067,831,9/4/17,
42350,Peter,Griffin,M,43,"5,7",250,8,2799,674,9/1/17,
42350,Peter,Griffin,M,43,"5,7",250,7,2850,558,9/7/17,
42350,Peter,Griffin,M,43,"5,7",245,6,2497,876,10/14/17,
42350,Peter,Griffin,M,43,"5,7",255,5,2453,400,10/8/17,
42350,Peter,Griffin,M,43,"5,7",250,5,2057,285,10/7/17,
42350,Peter,Griffin,M,43,"5,7",250,8,2407,294,10/4/17,
42350,Peter,Griffin,M,43,"5,7",250,9,2890,919,9/27/17,
42350,Peter,Griffin,M,43,"5,7",250,5,2296,515,9/16/17,
42350,Peter,Griffin,M,43,"5,7",250,7,2719,634,9/28/17,
42350,Peter,Griffin,M,43,"5,7",250,6,3099,449,9/15/17,
367834,Sam,Tenny,M,71,"5,6",183,8,3741,631,9/7/17,
367834,Sam,Tenny,M,71,"5,6",186,7,2019,914,10/1/17,
367834,Sam,Tenny,M,71,"5,6",183,8,2522,783,10/17/17,
367834,Sam,Tenny,M,71,"5,6",183,7,2760,724,9/6/17,
367834,Sam,Tenny,M,71,"5,6",184,5,2199,686,9/17/17,
367834,Sam,Tenny,M,71,"5,6",186,7,2906,492,9/4/17,
367834,Sam,Tenny,M,71,"5,6",187,7,2634,762,10/2/17,
367834,Sam,Tenny,M,71,"5,6",186,8,2171,393,9/26/17,
367834,Sam,Tenny,M,71,"5,6",186,6,2930,991,9/14/17,
367834,Sam,Tenny,M,71,"5,6",186,7,2538,869,9/17/17,
726474,Glenn,Quagmire,M,43,"5,6",191,9,2862,794,9/26/17,
726474,Glenn,Quagmire,M,43,"5,6",191,7,2686,720,10/6/17,
726474,Glenn,Quagmire,M,43,"5,6",191,5,2259,272,9/14/17,
726474,Glenn,Quagmire,M,43,"5,6",192,8,2165,885,9/26/17,
726474,Glenn,Quagmire,M,43,"5,6",193,8,2046,885,10/18/17,
726474,Glenn,Quagmire,M,43,"5,6",191,8,3173,410,10/6/17,
726474,Glenn,Quagmire,M,43,"5,6",195,8,2817,604,10/19/17,
726474,Glenn,Quagmire,M,43,"5,6",191,5,2317,733,10/13/17,
726474,Glenn,Quagmire,M,43,"5,6",191,7,2229,311,9/30/17,
726474,Glenn,Quagmire,M,43,"5,6",191,9,2865,311,9/12/17,
704404,Tony,Drinkel,M,20,"5,8",209,6,2977,816,10/17/17,
704404,Tony,Drinkel,M,20,"5,8",209,7,2210,333,9/15/17,
704404,Tony,Drinkel,M,20,"5,8",209,5,2313,804,9/25/17,
704404,Tony,Drinkel,M,20,"5,8",209,8,2107,767,9/8/17,
704404,Tony,Drinkel,M,20,"5,8",209,5,3046,315,10/11/17,
704404,Tony,Drinkel,M,20,"5,8",209,6,2498,910,10/10/17,
704404,Tony,Drinkel,M,20,"5,8",209,7,2820,536,9/10/17,
704404,Tony,Drinkel,M,20,"5,8",209,6,2956,951,9/22/17,
704404,Tony,Drinkel,M,20,"5,8",209,7,2911,319,10/20/17,
704404,Tony,Drinkel,M,20,"5,8",209,6,2436,972,9/27/17,
423905,Chuck,Norris,M,67,"5,6",205,7,3758,267,9/28/17,
423905,Chuck,Norris,M,67,"5,6",203,7,2756,602,9/7/17,
423905,Chuck,Norris,M,67,"5,6",203,9,2396,649,9/24/17,
423905,Chuck,Norris,M,67,"5,6",203,5,2325,423,10/6/17,
423905,Chuck,Norris,M,67,"5,6",204,6,2239,705,10/18/17,
423905,Chuck,Norris,M,67,"5,6",208,9,3026,387,9/10/17,
423905,Chuck,Norris,M,67,"5,6",203,7,2029,515,9/29/17,
423905,Chuck,Norris,M,67,"5,6",205,8,3057,338,9/17/17,
423905,Chuck,Norris,M,67,"5,6",205,5,2430,317,9/29/17,
423905,Chuck,Norris,M,67,"5,6",205,6,2740,861,9/23/17,
812053,Lars,Pennock,M,31,"5,8",217,7,3171,361,9/28/17,
812053,Lars,Pennock,M,31,"5,8",215,9,2462,334,9/7/17,
812053,Lars,Pennock,M,31,"5,8",215,5,2797,849,9/15/17,
812053,Lars,Pennock,M,31,"5,8",215,6,2986,426,9/10/17,
812053,Lars,Pennock,M,31,"5,8",216,6,2613,692,9/24/17,
812053,Lars,Pennock,M,31,"5,8",217,9,2525,721,9/29/17,
812053,Lars,Pennock,M,31,"5,8",217,9,2713,773,9/22/17,
812053,Lars,Pennock,M,31,"5,8",217,9,2400,780,10/22/17,
812053,Lars,Pennock,M,31,"5,8",217,8,2832,795,10/7/17,
812053,Lars,Pennock,M,31,"5,8",217,9,2489,930,9/2/17,
926494,Corissa,Aguiler,F,39,"5,3",130,5,2113,1014,,
926494,Corissa,Aguiler,F,39,"5,3",130,8,2809,845,,
926494,Corissa,Aguiler,F,39,"5,3",128,5,1649,965,,
926494,Corissa,Aguiler,F,39,"5,3",130,8,2905,736,,
926494,Corissa,Aguiler,F,39,"5,3",130,8,2623,785,,
926494,Corissa,Aguiler,F,39,"5,3",130,8,2784,808,,
926494,Corissa,Aguiler,F,39,"5,3",128,7,2991,441,,
926494,Corissa,Aguiler,F,39,"5,3",129,5,2251,730,,
926494,Corissa,Aguiler,F,39,"5,3",130,8,1967,738,,
926494,Corissa,Aguiler,F,39,"5,3",130,7,2885,559,,
441804,Olga,Keig,F,52,"5,3",128,7,1718,443,,
441804,Olga,Keig,F,52,"5,3",128,5,2249,534,,
441804,Olga,Keig,F,52,"5,3",128,5,2164,829,,
441804,Olga,Keig,F,52,"5,3",130,8,2187,432,,
441804,Olga,Keig,F,52,"5,3",129,6,2005,444,,
441804,Olga,Keig,F,52,"5,3",130,8,2187,856,,
441804,Olga,Keig,F,52,"5,3",128,6,2022,411,,
441804,Olga,Keig,F,52,"5,3",128,8,1949,578,,
441804,Olga,Keig,F,52,"5,3",128,6,2072,998,,
441804,Olga,Keig,F,52,"5,3",128,6,1749,702,,
137993,Mary,Johnson,F,61,"5,3",135,7,1854,792,,
137993,Mary,Johnson,F,61,"5,3",135,9,1977,766,,
137993,Mary,Johnson,F,61,"5,3",135,6,2005,868,,
137993,Mary,Johnson,F,61,"5,3",135,8,2093,400,,
137993,Mary,Johnson,F,61,"5,3",135,9,1995,574,,
137993,Mary,Johnson,F,61,"5,3",135,9,1959,700,,
137993,Mary,Johnson,F,61,"5,3",135,7,2023,663,,
137993,Mary,Johnson,F,61,"5,3",135,5,2095,683,,
137993,Mary,Johnson,F,61,"5,3",135,8,2003,276,,
137993,Mary,Johnson,F,61,"5,3",135,5,1954,583,,
428247,Julie,Livermore,F,69,"5,3",130,7,2175,523,,
428247,Julie,Livermore,F,69,"5,3",130,8,2061,305,,
428247,Julie,Livermore,F,69,"5,3",130,5,2200,586,,
428247,Julie,Livermore,F,69,"5,3",131,5,2177,866,,
428247,Julie,Livermore,F,69,"5,3",131,8,1891,337,,
428247,Julie,Livermore,F,69,"5,3",131,8,2209,831,,
428247,Julie,Livermore,F,69,"5,3",131,7,2389,307,,
428247,Julie,Livermore,F,69,"5,3",132,6,1896,339,,
428247,Julie,Livermore,F,69,"5,3",134,7,1794,488,,
428247,Julie,Livermore,F,69,"5,3",130,6,1701,595,,
901870,Lois,Griffin,F,47,"5,2",127,7,1850,622,,
901870,Lois,Griffin,F,47,"5,2",128,9,1676,892,,
901870,Lois,Griffin,F,47,"5,2",128,6,1728,994,,
901870,Lois,Griffin,F,47,"5,2",128,9,2324,331,,
901870,Lois,Griffin,F,47,"5,2",128,6,2182,325,,
901870,Lois,Griffin,F,47,"5,2",128,8,1952,641,,
901870,Lois,Griffin,F,47,"5,2",127,9,1894,792,,
901870,Lois,Griffin,F,47,"5,2",127,7,2322,793,,
901870,Lois,Griffin,F,47,"5,2",127,8,2108,1012,,
901870,Lois,Griffin,F,47,"5,2",127,8,2373,452,,
249122,Elisabeth,Baker,F,63,"6,2",165,6,2057,560,,
249122,Elisabeth,Baker,F,63,"6,2",165,7,2152,403,,
249122,Elisabeth,Baker,F,63,"6,2",165,5,2291,754,,
249122,Elisabeth,Baker,F,63,"6,2",164,6,2344,711,,
249122,Elisabeth,Baker,F,63,"6,2",163,8,2264,808,,
249122,Elisabeth,Baker,F,63,"6,2",163,7,2272,878,,
249122,Elisabeth,Baker,F,63,"6,2",162,8,2273,714,,
249122,Elisabeth,Baker,F,63,"6,2",163,5,2075,539,,
249122,Elisabeth,Baker,F,63,"6,2",165,6,2069,767,,
249122,Elisabeth,Baker,F,63,"6,2",165,6,2396,365,,
939801,Trisha,Bellocht,F,31,"5,5",128,9,1855,487,,
939801,Trisha,Bellocht,F,31,"5,5",128,8,1737,753,,
939801,Trisha,Bellocht,F,31,"5,5",128,7,1756,515,,
939801,Trisha,Bellocht,F,31,"5,5",128,5,1692,978,,
939801,Trisha,Bellocht,F,31,"5,5",128,6,1666,593,,
939801,Trisha,Bellocht,F,31,"5,5",128,5,1805,380,,
939801,Trisha,Bellocht,F,31,"5,5",128,6,1750,630,,
939801,Trisha,Bellocht,F,31,"5,5",128,9,1667,871,,
939801,Trisha,Bellocht,F,31,"5,5",128,8,1830,712,,
939801,Trisha,Bellocht,F,31,"5,5",128,7,1846,860,,
962653,Alessa,Pheazey,F,25,"5,6",130,8,2033,725,,
962653,Alessa,Pheazey,F,25,"5,6",130,6,2088,644,,
962653,Alessa,Pheazey,F,25,"5,6",130,9,2042,832,,
962653,Alessa,Pheazey,F,25,"5,6",133,7,2132,458,,
962653,Alessa,Pheazey,F,25,"5,6",133,9,1954,519,,
962653,Alessa,Pheazey,F,25,"5,6",134,9,1802,701,,
962653,Alessa,Pheazey,F,25,"5,6",135,7,2000,523,,
962653,Alessa,Pheazey,F,25,"5,6",135,5,2167,728,,
962653,Alessa,Pheazey,F,25,"5,6",130,7,1804,631,,
962653,Alessa,Pheazey,F,25,"5,6",130,5,1844,495,,
302643,Jami,Pickering,F,30,"6,2",141,6,2159,840,,
302643,Jami,Pickering,F,30,"6,2",141,9,1666,968,,
302643,Jami,Pickering,F,30,"6,2",141,6,2159,613,,
302643,Jami,Pickering,F,30,"6,2",142,5,2046,947,,
302643,Jami,Pickering,F,30,"6,2",142,6,1666,514,,
302643,Jami,Pickering,F,30,"6,2",142,5,1671,1008,,
302643,Jami,Pickering,F,30,"6,2",141,8,1672,755,,
302643,Jami,Pickering,F,30,"6,2",145,9,2043,738,,
302643,Jami,Pickering,F,30,"6,2",141,7,2215,738,,
302643,Jami,Pickering,F,30,"6,2",141,5,2155,316,,
994061,Lorreta,Brown,F,59,"5,4",133,7,2058,404,,
994061,Lorreta,Brown,F,59,"5,4",133,9,2102,304,,
994061,Lorreta,Brown,F,59,"5,4",133,6,1663,943,,
994061,Lorreta,Brown,F,59,"5,4",133,5,1635,582,,
994061,Lorreta,Brown,F,59,"5,4",133,7,1803,777,,
994061,Lorreta,Brown,F,59,"5,4",133,7,2325,330,,
994061,Lorreta,Brown,F,59,"5,4",133,5,2129,890,,
994061,Lorreta,Brown,F,59,"5,4",133,5,2043,609,,
994061,Lorreta,Brown,F,59,"5,4",133,8,2005,812,,
994061,Lorreta,Brown,F,59,"5,4",133,6,1604,866,,
206845,Marcin,Matczak,M,70,"5,6",195,6,3560,562,,
206845,Marcin,Matczak,M,70,"5,6",195,5,1945,694,,
206845,Marcin,Matczak,M,70,"5,6",195,8,1982,694,,
206845,Marcin,Matczak,M,70,"5,6",198,9,2119,648,,
206845,Marcin,Matczak,M,70,"5,6",195,9,2429,814,,
206845,Marcin,Matczak,M,70,"5,6",195,7,2260,948,,
206845,Marcin,Matczak,M,70,"5,6",192,6,1617,516,,
206845,Marcin,Matczak,M,70,"5,6",195,7,2024,680,,
206845,Marcin,Matczak,M,70,"5,6",195,5,2538,462,,
206845,Marcin,Matczak,M,70,"5,6",195,7,1871,638,,
443185,Chris,Robinson,M,20,"6,2",194,8,2853,469,,
443185,Chris,Robinson,M,20,"6,2",195,5,2015,691,,
443185,Chris,Robinson,M,20,"6,2",194,6,2313,948,,
443185,Chris,Robinson,M,20,"6,2",198,5,2888,577,,
443185,Chris,Robinson,M,20,"6,2",194,6,2827,357,,
443185,Chris,Robinson,M,20,"6,2",193,7,2381,939,,
443185,Chris,Robinson,M,20,"6,2",194,6,2255,682,,
443185,Chris,Robinson,M,20,"6,2",194,8,2449,824,,
443185,Chris,Robinson,M,20,"6,2",194,9,2336,454,,
443185,Chris,Robinson,M,20,"6,2",194,6,2347,1004,,
853386,Matt,MacAllester,M,24,"5,7",221,7,3523,409,,
853386,Matt,MacAllester,M,24,"5,7",221,9,3101,926,,
853386,Matt,MacAllester,M,24,"5,7",226,6,2919,813,,
853386,Matt,MacAllester,M,24,"5,7",226,6,2181,658,,
853386,Matt,MacAllester,M,24,"5,7",221,9,2225,334,,
853386,Matt,MacAllester,M,24,"5,7",225,5,2950,1000,,
853386,Matt,MacAllester,M,24,"5,7",225,6,2621,926,,
853386,Matt,MacAllester,M,24,"5,7",225,8,2904,342,,
853386,Matt,MacAllester,M,24,"5,7",221,7,2228,344,,
853386,Matt,MacAllester,M,24,"5,7",221,6,2861,637,,
870311,Reinaldo,Elias da Costa,M,21,"6,1",245,7,3248,661,,
870311,Reinaldo,Elias da Costa,M,21,"6,1",245,5,2164,621,,
870311,Reinaldo,Elias da Costa,M,21,"6,1",245,8,2979,629,,
870311,Reinaldo,Elias da Costa,M,21,"6,1",245,8,2442,653,,
870311,Reinaldo,Elias da Costa,M,21,"6,1",245,5,2469,563,,
870311,Reinaldo,Elias da Costa,M,21,"6,1",245,7,2628,756,,
870311,Reinaldo,Elias da Costa,M,21,"6,1",245,7,2110,855,,
870311,Reinaldo,Elias da Costa,M,21,"6,1",245,6,2243,287,,
870311,Reinaldo,Elias da Costa,M,21,"6,1",245,8,2502,689,,
870311,Reinaldo,Elias da Costa,M,21,"6,1",245,9,2067,851,,
42350,Peter,Griffin,M,43,"5,7",250,9,2799,688,,
42350,Peter,Griffin,M,43,"5,7",250,5,2850,580,,
42350,Peter,Griffin,M,43,"5,7",245,6,2497,881,,
42350,Peter,Griffin,M,43,"5,7",255,5,2453,403,,
42350,Peter,Griffin,M,43,"5,7",250,9,2057,306,,
42350,Peter,Griffin,M,43,"5,7",250,5,2407,315,,
42350,Peter,Griffin,M,43,"5,7",250,7,2890,933,,
42350,Peter,Griffin,M,43,"5,7",250,9,2296,520,,
42350,Peter,Griffin,M,43,"5,7",250,8,2719,642,,
42350,Peter,Griffin,M,43,"5,7",250,9,3099,467,,
367834,Sam,Tenny,M,71,"5,6",183,6,3741,632,,
367834,Sam,Tenny,M,71,"5,6",186,7,2019,928,,
367834,Sam,Tenny,M,71,"5,6",183,6,2522,794,,
367834,Sam,Tenny,M,71,"5,6",183,7,2760,732,,
367834,Sam,Tenny,M,71,"5,6",184,5,2199,704,,
367834,Sam,Tenny,M,71,"5,6",186,5,2906,500,,
367834,Sam,Tenny,M,71,"5,6",187,8,2634,771,,
367834,Sam,Tenny,M,71,"5,6",186,6,2171,404,,
367834,Sam,Tenny,M,71,"5,6",186,8,2930,992,,
367834,Sam,Tenny,M,71,"5,6",186,9,2538,880,,
726474,Glenn,Quagmire,M,43,"5,6",191,6,2862,816,,
726474,Glenn,Quagmire,M,43,"5,6",191,6,2686,743,,
726474,Glenn,Quagmire,M,43,"5,6",191,8,2259,285,,
726474,Glenn,Quagmire,M,43,"5,6",192,6,2165,906,,
726474,Glenn,Quagmire,M,43,"5,6",193,7,2046,907,,
726474,Glenn,Quagmire,M,43,"5,6",191,7,3173,416,,
726474,Glenn,Quagmire,M,43,"5,6",195,6,2817,620,,
726474,Glenn,Quagmire,M,43,"5,6",191,5,2317,741,,
726474,Glenn,Quagmire,M,43,"5,6",191,7,2229,322,,
726474,Glenn,Quagmire,M,43,"5,6",191,6,2865,314,,
704404,Tony,Drinkel,M,20,"5,8",209,5,2977,823,,
704404,Tony,Drinkel,M,20,"5,8",209,5,2210,335,,
704404,Tony,Drinkel,M,20,"5,8",209,6,2313,818,,
704404,Tony,Drinkel,M,20,"5,8",209,7,2107,781,,
704404,Tony,Drinkel,M,20,"5,8",209,8,3046,331,,
704404,Tony,Drinkel,M,20,"5,8",209,6,2498,929,,
704404,Tony,Drinkel,M,20,"5,8",209,9,2820,552,,
704404,Tony,Drinkel,M,20,"5,8",209,6,2956,975,,
704404,Tony,Drinkel,M,20,"5,8",209,9,2911,337,,
704404,Tony,Drinkel,M,20,"5,8",209,6,2436,992,,
423905,Chuck,Norris,M,67,"5,6",205,5,3758,276,,
423905,Chuck,Norris,M,67,"5,6",203,5,2756,613,,
423905,Chuck,Norris,M,67,"5,6",203,7,2396,668,,
423905,Chuck,Norris,M,67,"5,6",203,5,2325,447,,
423905,Chuck,Norris,M,67,"5,6",204,6,2239,729,,
423905,Chuck,Norris,M,67,"5,6",208,5,3026,403,,
423905,Chuck,Norris,M,67,"5,6",203,7,2029,527,,
423905,Chuck,Norris,M,67,"5,6",205,5,3057,352,,
423905,Chuck,Norris,M,67,"5,6",205,9,2430,335,,
423905,Chuck,Norris,M,67,"5,6",205,6,2740,886,,
